AAB	Abelag Aviation - Belgium	ABG
DMJ	Aerolineas Damojh, S.A. de C.V. - Mexico	Damojh
DMN	Diamond Flight Academy Scandinavia Ab - Sweden	Diamond Academy
DMQ	Daallo Airlines (Somalia) - Somalia	Dalo
DMR	Helidosa Aviation Group - Dominican Republic	Helidosa
DMS	Diamond Sky - Estonia	Diamond
DNC	Aerodynamics Malaga, S.L. - Spain	Flyingolive
DND	Eldinder Airlines - Sudan	Dinder
DNU	DAT Lt UAB - Lithuania	Danu
DNY	Danish Navy - Denmark	Danish Navy
DOC	Norsk Luftambulanse A/S - Norway	Helidoc
DOI	U.S. Department of the Interior, Office of Aircraft Services, (Boise, ID) - United States	Interior
DOJ	United States Department of Justice Prisoner and Alien Transportation Service (JPATS) (El Paso, TX) - United States	Justice
DOK	Nordic Air Ambulance A/S - Denmark	Doctor
DOL	Ebsco, Inc. D/B/A Million Air Longview (Longview, TX) - United States	Dollar Sign
DOM	Domergue Aviation - France	Dome Air
DON	Donair Flying Club Ltd - United Kingdom	Donair
DOR	General Atomics Aerotec Systems GmbH - Germany	Dornier
DOS	U.S. Department of State Inl/A - United States	Dosair
DOV	Dove Air Services Co. Ltd - Sudan	Dovair
DOW	Best Jets International (Minneapolis, MN) - United States	Downtown
DPJ	Delta Private Jets (Cincinnatti, OH) - United States	Jet Card
DPS	Alabama Department of Public Safety (Montgomery, AL) - United States	Blue-Gray
DQA	Island Aviation - Maldives	Sky Surfer
DRB	Didier Rousset Buy - Chile	Didier
DRD	Aereo Dorado, S.A. de C.V. - Mexico	Aereo Dorado
DRE	Michigan Airways, Inc. D/B/A Drummond Island Air (Drummond Island, MI) - United States	Michigan
DRK	Druk Air - Bhutan	Royal Bhutan
DRL	Omni Air Transport, LLC (Tulsa, OK) - United States	Driller
DRM	Airways Flight Training - United Kingdom	Dartmoor
DRO	Adro Servicios Aereos, S.A. de C.V. - Mexico	Adro Servicios
DRS	Dreamshore Aero (Bar Harbor, ME) - United States	Dreamshore
DRU	Alrosa Air Company Limited - Russian Federation	Mirny
DRY	Deraya Air Taxi, Pt. - Indonesia	Deraya
DRZ	Derazona Air Service, Pt. - Indonesia	Derazona
DSA	Danbury Airways, Inc. (Danbury, CT) - United States	Danbury Airways
DSM	LAN Argentina S.A. - Argentina	Lan Air
DSO	Dassault Falcon Service - France	Dassault
DSP	Suraviation S.L. - Spain	Suraviation
DSQ	Dasab Airlines - Nigeria	Dasab Air
DSR	Dairo Air Services,Ltd. - Uganda	Dairair
DST	Star Aviation Spa - Algeria	Star Aviation
DSU	Delta State University (Cleveland, MS) - United States	Delta State
DTA	TAAG, Linhas Aereas de Angola (Angola Airlines) - Angola	DTA
DTH	Tassili Airlines - Algeria	Tassili Air
DTN	Data International Ltd - Sudan	Data Air
DTO	Aerodesierto S.A. - Chile	Aerodesierto
DTR	Danish Air Transport A/S - Denmark	Danish
DUA	Dushanbe Air - Tajikistan	Dushanbe Air
DUB	Dubai Airwing - United Arab Emirates	Dubai
DUG	Aerotecnica S.A. - Venezuela (Bolivarian Republic of)	Atsaven
DUN	Dun'Air - Mauritania	Dunair
DVI	Aero Davinci International, S.A. de C.V. - Mexico	Aero Davinci
DVN	Adventia - Spain	Adventia
DVR	Divi Divi Air Inc. - Netherlands	Divi Air
DVZ	Aerotaxi DVZ, S.A. de C.V. - Mexico	Aerotaxi DVZ
DWG	Valkyrie Aero, LLC - United States	Dark Wing
DWI	Dominican Wings - Dominican Republic	Dominican
DWR	Delaware Skyways, LLC (New Castle, DE) - United States	Delaware
DXH	East Star Airlines Co., Ltd - China	East Star
DXT	Air Management Group, CJSC - Russian Federation	Dexter
DYM	Dynamic Air, S.L. - Spain	Dynamic Sky
DYN	Aerodynamics, Inc. (Waterford, MI) - United States	Aerodynamics
DZR	Midwest Aviation (Omaha, NE) - United States	Dozer
EAC	Executive Air Charter (Honolulu, HI) - United States	Execair
EAD	EAA - Escola de Aviacao Aerocondor, SA - Portugal	Aero-Escola
EAF	Electra Airways - Bulgaria	Electra
EAK	Euro-Asia Air - Kazakhstan	Eakaz
EAL	Eastern Airlines, LLC (High Point, NC) - United States	Eastern
EAM	Embassy Airlines Limited - Nigeria	Embassy Air
EAN	Express Airways Nigeria Limited - Nigeria	Nigeria Express
EAO	Elitavia San Marino S.r.l. - San Marino	Marino
EAP	Aero-Pyrenees - France	Aero-Pyrenees
EAR	Transporte Ejecutivo Aereo, S.A. de C.V. - Mexico	Ejecutivo-Aereo
EAS	Executive Aerospace (Pty) Ltd - South Africa	Aerospace
EAT	Air Transport, Ltd - Slovakia	Trans Europe
EAU	Elitavia Malta Ltd - Malta	Elite
EAV	Elitavia D.O.O. - Slovenia	Elitavia
EAW	Walya Airways - Ethiopia	Walya
EAX	European Aviation School of Barcelona - Spain	Aereas
EBE	Minebea Aviation Co., Ltd - Thailand	Minebea
ECA	OHL Air Charterflug - Germany	Dark Knight
ECC	Eclair Aviation - Czech Republic	Eclair
ECD	Ecotour - Mexico	Ecotour
ECF	Eurocopter - France	Eurocopter
ECI	Eastern Carolina Aviation, Inc. (Richlands, NC) - United States	Eastern Carolina
ECJ	East Coast Jets, Inc. (Allentown, PA) - United States	Eastcoast Jet
ECL	Aeronautica Castellana, S.L. - Spain	Aero Castellana
ECM	Aerolineas Comerciales, S.A. de C.V. - Mexico	Aero Comerciales
ECN	Euro Continental Aie, S.L. - Spain	Euro Continental
ECO	Linea Aerea Eco Jet S.A. - Bolivia (Plurinational State of)	Ecojet
ECQ	Eco Air Limited - Nigeria	Skybridge
ECR	Energia Creadora, S.A. de C.V. - Mexico	Energia
ECT	East Coast Airways (Pty) Ltd - South Africa	Eastway
ECW	Eco Airways S.A. - Burkina Faso	Ecotravel
ECX	Ecomex Air Cargo, Lda. - Angola	Air Ecomex
EDA	Exec Direct Aviation - Jamaica	Cargo Lift
EDC	Air Charter Scotland Ltd - United Kingdom	Saltire
EDD	Lineas Aereas Ejecutivas de Durango, S.A. de C.V. - Mexico	Lineas Durango
EDG	Western Air Charter, Inc. D/B/A Jet Edge (Scottsdale, AZ) - United States	Jet Edge
EDL	Polizeihubschrauberstaffel Bayern, Muenchen - Germany	Police Edelweiss
EDO	Edacom, D.O.O. - Slovenia	Edacom
EDR	Fly Always - Suriname	Birdview
EDV	Endeavor Air - United States	Endeavor
EDW	Edelweiss Air AG - Switzerland	Edelweiss
EDY	Apollo Air Services Ltd. - United Kingdom	Solway
EEF	Estonian Airforce - Estonia	Estonian Airforce
EEL	Eagle European Ltd - United Kingdom	Solace
EEM	Ejecutivo Aereo de Mexico, S.A. de C.V. - Mexico	Ejeaermex
EEU	Eurofly Service S.p.A. - Italy	Eurofly
EFA	Express Freighters Australia - Australia	Express Freight
EFB	Emerald Jets S.A.L. - Lebanon	Emerald Jets
EFC	Emirates Flight Training Academy - United Arab Emirates	Al Wasel
EFD	Eisele Flugdienst GmbH, Stuttgart - Germany	Ever Flight
EFE	E-Freight International Ltd - Sudan	Efreight Sudan
EFF	Westair Aviation Limited - Ireland	Emerald
EFG	Elifriulia S.r.l. - Italy	Elifriulia
EFS	Efaos, Agencia de Viagens e Turismo, Lda - Angola	Efaos
EFT	Execuflight, Inc. (Fort Lauderdale, FL) - United States	Zipline
EFX	Easy Fly Express Limited - Bangladesh	Easy Express
EGA	Air Eagle - Pakistan	Air Eagle
EGC	First Wing Aircraft Charter and Maintenance (Indianapolis, IN) - United States	Eagle Creek
EGL	Capital Air Ambulance Limited - United Kingdom	Prestige
EGM	Ecuatoguineana de Air et Maritime Service - EGAMS - Equatorial Guinea	Egams
EGO	Gauteng Air Cargo Cc - South Africa	Gauteng
EGS	National Jets, Inc. - United States	Everglades
EGT	Egt Jet Ltd. - Bulgaria	Bulgarian Jet
EGU	Eagle Aviation (U) Ltd - Uganda	African Eagle
EGV	Enrique Gleisner Vivanco - Chile	Gleisner
EGW	Ego Airways S.P.A. - Italy	Egol
EHD	E H Darby Aviation (Sheffield, AL) - United States	Platinum Air
EHN	East Horizon Airlines - Afghanistan	East Horizon
EHR	Nordurflug Ehf - Iceland	Rotor
EIA	Evergreen International Airlines - United States	Evergreen
EIC	Express International Cargo Corporation - Sao Tome and Principe	Excargo
EIN	Aer Lingus Teoranta - Ireland	Shamrock
EIS	E.I.S. Aircraft GmbH, Kiel-Holtenau - Germany	Cool
EJA	Netjets Aviation, Inc. (Columbus, OH) - United States	Execjet
EJE	Hebei Tonghe General Aviation Co., Ltd. - China	Voodoo
EJM	Executive Jet  Management, Inc. (Cincinnati, OH) - United States	Jet Speed
EJO	Execujet Middle East - United Arab Emirates	Midjet
EJP	Aeroservicios Ejecutivos Corporativos, S.A. de C.V. - Mexico	Ejecorporativos
EJS	Eurojet Servis S.R.O. - Czech Republic	Eejay Service
EJT	Eclipse Aviation (Albuquerque, NM) - United States	Eclipse Jet
EJU	Easyjet Europe Airline GmbH - Austria	Alpine
EJV	Compania Ejecutiva, S.A. de C.V. - Mexico	Ejecutiva
EKA	Equaflight Service - Congo	Equaflight
EKC	East Kansas City Aviation, Inc. (Grain Valley, MO) - United States	Blue Goose
EKJ	Equajet - Congo	Equajet
ELB	Ellinair - Greece	Ellinair Hellas
ELE	Euroairlines, S.L. - Spain	Euroline
ELF	Fly Ellas - Greece	Ellasjet
ELG	Elangeni GmbH - Austria	Elangeni
ELH	Babcock Mission Critical Services Italia Spa - Italy	Lario
ELJ	Elite Jet S.R.O. - Slovakia	Topjet
ELO	Eurolot S.A. - Poland	Eurolot
ELT	Elliott Aviation, Inc. (Omaha, NE) - United States	Elliott
ELU	Egyptian Leisure Airlines - Egypt	Egyptian Leisure
ELV	Elvetia Aviation S.A.P.I. de C.V. - Mexico	Elvetia
ELW	Yellow Wings Air Services Ltd - Kenya	Yellow Wings
ELX	Elan Express (Las Vegas, NV) - United States	Elan
ELY	El Al - Israel Airlines Ltd. - Israel	Elal
EMB	Empresa Brasileira de Aeronautica, S/A - Brazil	Embraer
EMD	Ballard Aviation, Inc. D/B/A Eaglemed (Wichita, KS) - United States	Eaglemed
EME	Metro Express, Inc. D/B/A Eastern Metro  Express (Atlanta, GA) - United States	Emair
EMI	Premium Air Shuttle Ltd - Nigeria	Blue Shuttle
EMJ	Friendship Airways (Fort Lauderdale, FL) - United States	Light House
EML	EMA S.A., Empresa de Melos Aereos - Portugal	Emalusa
EMM	Emperor Aviation - Malta	Ruler
EMP	Empire Air Service, Inc. (Rochester, NY) - United States	Empire
EMR	Zemmour Airlines - Mauritania	Zemmour
EMS	Aero Servicios Empresariales, S.A. de C.V. - Mexico	Serviempresarial
EMT	Emetebe - Ecuador	Emetebe
EMZ	Ethiopian Mozambique Airlines - Mozambique	Emoz
ENA	Espana, Direccion General de Aviacion Civil y Telecomunicaciones - Spain	Ena
ENC	Endecots S.A. - Ecuador	Endecots
END	Arrendadora y Transportadora Aerea, S.A. de C.V. - Mexico	Arrendadora
ENE	Enerjet, S.A. de C.V. - Mexico	Jet-Ener
ENF	Enav S.P.A. - Italy	Enav Check
ENL	Servicios Optimos de Aeroenlace S.A. de C.V. - Mexico	Optimos
ENS	Entergy Services, Inc. (New Orleans, LA) - United States	Entergy Shuttle
ENT	Enter Air Sp. z.o.o. - Poland	Enterair
ENW	Aeronaves del Noroeste - Spain	Aeronor
ENY	Envoy Air Inc. - United States	Envoy
ENZ	Jota Aviation Ltd - United Kingdom	Enzo
EOA	Elilombarda S.r.l. - Italy	Lombarda
EOK	Aero K Airlines - Republic of Korea	Aerohanguk
EOL	Airailes - France	Eole
EOP	Eolo Plus, S.A. de C.V. - Mexico	Eolo Plus
EOS	Eliossola S.r.l. - Italy	Eliossola
EPA	Shenzhen Donghai Airlines Co., Ltd - China	Donghai Air
EPB	Donghai Business Aviation Company Ltd - China	Dong Jet
EPC	Europilot Center - Belgium	Europilot
EPI	Epic Flight Academy/Epic Aviation - United States	Epic Red
EPJ	Trabajos Aereos Espejo S.L. - Spain	Espejo
EPL	Aero Transportes Empresariales - Mexico	Empresariales
EPR	Express Airways, D.O.O. - Slovenia	Emperor
EPS	Epps Air Service, Inc. (Atlanta, GA) - United States	Epps Air
EPU	Aero Elite Acapulco, S.A. de C.V. - Mexico	Elitacapulco
EQL	Air Sao Tome and Principe - Sao Tome and Principe	Equatorial
EQT	Flight Academy Blackpool - United Kingdom	Equity
ERA	Aerotaxis Tucan, S.A. de C.V. - Mexico	Rocan
ERE	Erie Airways, Inc. (Erie, PA) - United States	Air Erie
ERF	Erofey LLC - Russian Federation	Gulliver
ERH	Era Helicopters (Lake Charles, LA) - United States	Era
ERI	Aero Servicios Regiomontanos, S.A. de C.V. - Mexico	Asergio
ERK	Aerosec - Chile	Aerosec
ERL	Aero Lab, S.A. de C.V. - Mexico	Aerolab
ERM	Aeromaan, S.A. de C.V. - Mexico	Eomaan
ERN	Ernest S.P.A. - Italy	Ernest
ERO	Aeroecom, C.A. - Venezuela (Bolivarian Republic of)	Aeroecom
ERT	Eritrean Airlines - Eritrea	Eritrean
ERU	Embry-Riddle Aeronautical University - United States	Riddle
ERX	Earth Airlines Services Limited - Nigeria	Earth Air
ERY	Sky Quest - United States	Erie Shore
ESA	Escair, S.L. - Spain	Malagair
ESC	El Sol de America C.A. - Venezuela (Bolivarian Republic of)	Solamerica
ESD	Eastindo Services - Indonesia	Eastindo
ESE	Ensenada Vuelos Especiales, S.A. de C.V. - Mexico	Ensenada Especial
ESF	Estafeta Carga Aerea, S.A. de C.V. - Mexico	Estafeta
ESM	Executive Aircraft Services S.A.L. - Lebanon	Exec Aircraft
ESQ	Europ-Star Aircraft GmbH - Austria	Europ Star
ESR	Eastarjet - Republic of Korea	Eastarjet
ESS	Thai Eastarjet - Thailand	Thai Star
EST	Regional Jet OU - Estonia	Reval
ESW	ASG Business Aviation LLC - Azerbaijan	W-Business
ESX	Euroskylink Ltd - United Kingdom	Catfish
ESY	Easoflyers, S.L. - Spain	Donosti
ETA	Zetta Jet USA, Inc. - United States	Time Machine
ETC	African Transport Trading and Investment Co. (Attico) - Sudan	Tranattico
ETD	Etihad Airways - United Arab Emirates	Etihad
ETE	Servicios Aereos Elite, S.A. de C.V. - Mexico	Saelite
ETH	Ethiopian Airlines Corporation - Ethiopia	Ethiopian
ETI	H-Bird Aviation Services Ab - Sweden	Jethawk
ETJ	East Air - Tajikistan	East Tajik
ETL	Patterson Aviation Company (Sacramento, CA) - United States	Entel
ETM	Etram Air Wing - Angola	Etram
ETN	Chim-Nir Aviation - Israel	Chimnir
ETP	Empire Test Pilots School - United Kingdom	Tester
ETR	Estelair Latinoamerica, C.A. - Venezuela (Bolivarian Republic of)	Estel
ETS	Eltsovka Airlines - Russian Federation	Eltsovka
ETZ	Aerotransportes Zodiac, S.A. de C.V. - Mexico	Aero Zodiac
EUL	Eurolink GmbH - Germany	Eurolink
EUP	Pan Europeenne - France	Savoy
EUS	Eurus Aviation, S.A.P.I. de C.V. - Mexico	Eurus
EUU	Euroamerican Air - Uruguay	Euroamerican
EUW	EFS European Flight Service Ab - Sweden	Eurowest
EVA	Eva Airways Corporation - China	Eva
EVE	Evelop Airline, S.L. - Spain	Evelop
EVJ	Everjets - Aviacao Executiva, S.A. - Portugal	Everjets
EVK	Everett Aviation - Kenya	Everett
EVL	Evolem Aviation - France	Evolem
EVM	Natural Environment Research Council - United Kingdom	Science
EVQ	Everett Aviation Lda - Mozambique	Everett Air
EVR	Aeronautical Academy of Europe - Academia Aeronautica de Evora, S.A. - Portugal	Diana
EVX	ATR (Avion de Transport Regional) - France	Green Spirit
EWA	Ewest Air - Republic of Korea	Ewest
EWG	Eurowings GmbH - Germany	Eurowings
EWR	Ewa Air - France	Mayotte Air
EWS	East West Airlines - Syrian Arab Republic	East West
EWZ	East Wing - Kazakhstan	E-Wing
EXA	IMP Group Ltd - Canada	Canadianexecaire
EXB	Brazilian Army Aviation - Brazil	Brazilian Army
EXC	Ec Charter Ca - Venezuela (Bolivarian Republic of)	Ecair
EXD	Execujet Aviation (Pty) Ltd - South Africa	Platinum Exec
EXE	Executive Flight, Inc. (Arlington, TX) - United States	Exec
EXF	Eximflight, S.A. de C.V. - Mexico	Eximflight
EXH	Executive Helicopters - Ireland	Exec Heli
EXJ	Executive Jet Charter Limited - United Kingdom	Volante
EXM	CAA Flight Examiners - United Kingdom	Exam
EXN	Exin - Poland	Exin
EXP	Island Express Air - United States	Island Express
EXS	Jet2.Com Ltd - United Kingdom	Channex
EXU	Executive Airlines, S.L. - Spain	Sacir
EXV	Fits Aviation (Pvt) Ltd - Sri Lanka	Expoavia
EXY	SA Express Airways - South Africa	Expressways
EXZ	East African Safari Air Express Limited - Kenya	Twiga
EYE	F.S. Air Service, Inc. (Anchorage, AK) - United States	Sockeye
EYT	Etihad Flight College - United Arab Emirates	Jernas
EZA	Eznis Airways LLC - Mongolia	Eznis
EZE	Eastern Airways (UK) Limited - United Kingdom	Eastflight
EZJ	Ezjet Gt Inc. - Guyana	Guyana Jet
EZR	Ez Air B.V. - Netherlands	Easyway
EZS	Easy Jet Switzerland SA - Switzerland	Topswiss
EZX	Eaglexpress Air Charter Sdn. Bhd. - Malaysia	Eaglexpress Air
EZY	Easyjet UK Ltd - United Kingdom	Easy
EZZ	ETF Airways - Croatia	Enterprize
FAC	Fuerza Aerea Colombiana - Colombia	Colombian Air Force
FAD	Flyadeal - Saudi Arabia	Adeal
FAE	Fuerza Aerea Ecuatoriana - Ecuador	Ecuadorian Airforce
FAF	Force Aerienne Francaise - France	French Air Force
FAG	Fuerza Aerea Argentina - Argentina	Fuaer
FAH	Farnair Hungary Ltd - Hungary	Blue Strip
FAI	Falcon Air, Inc. (Flint, MI) - United States	Motor-City
FAJ	Fly Aman - Syrian Arab Republic	Amanjet
FAK	Financial Airxpress - United States	Facts
FAL	Friendship Air Alaska (Fairbanks, AK) - United States	Friendship
FAM	Fuerza Aerea Mexicana - Mexico	Famex
FAN	AF-Air International - Angola	Fanbird
FAO	Falcon Air Express (Miami, FL) - United States	Panther
FAP	F Air - Czech Republic	Fair School
FAR	AG-Raum GmbH, Warngau - Germany	Torro
FAT	Air Taxi (Aviation Connectivity and Infrastructure Developers Pvt. Ltd.) - India	Air Taxi
FAU	Falcon Airline Limited - Nigeria	Falcon Airline
FAV	Fair Aviation Pty Ltd - South Africa	Fairavia
FAW	Falwell Aviation, Inc. (Lynchburg, VA) - United States	Falwell
FAX	Midwest Air Freighters (Kansas City, KS) - United States	Fairfax
FAY	Fayban Air Services - Nigeria	Fayban Air
FAZ	Flint Aviation Services, Inc. (Flint, MI) - United States	Flint Air
FBA	Fly Baghdad - Iraq	Iraq Express
FBB	Flyarmenia Airways LLC - Armenia	Yerevan
FBC	Fly Blue Crane - South Africa	Blue Crane
FBE	Pan African Airlines Leasing Company Ltd - Mauritius	Afribee
FBG	Fleet Air Bg - Bulgaria	Fleet Big
FBJ	Baby Jet Airlines Limited - Ghana	Baby Jet
FBN	Florida Air Transport, Inc. (Opa Locka, FL) - United States	Florida Transport
FBS	Flybosnia - Bosnia and Herzegovina	Bosnia Air
FBU	French Blue - France	French Bee
FBY	Fly Bai, S.L. - Spain	Bai Fly
FBZ	Flybondi - Argentina	Bondi
FCA	Fly-Coop Air Service - Hungary	Coopair
FCB	Cobaltair Limited - Cyprus	Apollo
FCH	Fly Union - Tajikistan	Sky Union
FCJ	Airsprint US, Inc. (Scottsdale, AZ) - United States	Fracjet
FCK	FCS, Flight Calibration Services, Braunschweig - Germany	Nav Checker
FCL	Florida Coastal Airlines, Inc. (Fort Pierce, FL) - United States	Florida Coastal
FCM	Nordic Regional Airlines Oy - Finland	Finncomm
FCO	Aerofrisco - Mexico	Aerofrisco
FCP	Flight Corporation Ltd - New Zealand	Flightcorp
FDA	Fuji Dream Airlines - Japan	Fuji Dream
FDB	Flydubai - United Arab Emirates	Sky Dubai
FDJ	Freedom Air LLC - United States	Freedom Jet
FDK	Flydamas - Syrian Arab Republic	Damavia
FDL	Farmingdale State University (Farmingdale, NY) - United States	Farmingdale State
FDM	Freedom Airlines, Inc. (Binghamton, NY) - United States	Liberty
FDN	Dolphin Air - United Arab Emirates	Flying Dolphin
FDO	France Douanes - France	French Custom
FDR	Federal Air (Pty) Ltd - South Africa	Fedair
FDS	African Medical and Research Foundation (AMREF) - Kenya	Flydoc
FDT	Freedom Airlines Express Ltd. - Kenya	Freedom Eagle
FDX	Federal Express Corporation (Little Rock, AR) - United States	Fedex
FDY	Sun Air Express, LLC (Ft. Lauderdale, FL) - United States	Friendly
FEA	Far Eastern Air Transport Corporation - China	Far Eastern
FEE	Aeroservicios Fares C.A. - Venezuela (Bolivarian Republic of)	Fares
FEG	Fly Egypt - Egypt	Sky Egypt
FEI	Eagle Air Iceland (Flugfelagid Ernir) - Iceland	Arctic Eagle
FEM	Flywell Airline - Zimbabwe	Zim Airlink
FEN	Eurocopter UK Ltd - United Kingdom	Fenestron
FEO	Aeroferinco, S.A. de C.V. - Mexico	Ferinco
FES	Aero Taxis y Servicios Alfe, S.A. de C.V. - Mexico	Aero Alfe
FET	Old Dominion Freight Lines, Inc. (Thomasville, NC) - United States	Freight Line
FEX	Flightexec - Canada	Flightexec
FFC	Fairoaks Flight Centre - United Kingdom	Fairoaks
FFD	Feuerwehreinsatz - Germany	Florian
FFE	FFL Fachschule Fuer Luft-Fahrzeugfuehrer GmbH, Muelheim - Germany	Smart Trainer
FFF	Freedom Air Services Ltd - Nigeria	Inter Freedom
FFH	Shalom Air Services - Nigeria	Peace Air
FFI	Infinit Air, S.L. - Spain	Infinit
FFL	Foreflight, LLC - United States	Foreflight
FFM	Flyfirefly Sdn Bhd - Malaysia	Firefly
FFS	Florida Dept of Agriculture (Tallahassee, FL) - United States	Forestry
FFT	Frontier Airlines, Inc. (Denver, CO) - United States	Frontier Flight
FFU	GEC Marconi Avionics Ltd - United Kingdom	Ferranti
FFV	Five Forty Aviation Ltd - Kenya	Swift Tango
FFX	Nordeste Linhas Aereas, S.A. - Brazil	Flex Brazil
FFY	Florida Flyers Flight Academy, Inc. - United States	Flyers Air
FGA	Georgian Aviation Federation - Georgia	Georgia Fed
FGC	Departamento de Agricultura de la Generalitat de Cataluna - Spain	Forestales
FGD	Conair Group Inc. D/B/A Conair - Canada	Fireguard
FGG	Flyglobal Charter Sdn. Bhd. - Malaysia	Bluefinch
FGN	Gendarmerie Nationale - France	France Gendarme
FGP	Flying-Research Aerogeophysical Center Ltd - Russian Federation	Flying Center
FGR	Mid-Pacific Air Service LLC - United States	Frigate
FGS	Elitellina S.r.l. - Italy	Elitellina
FGW	Fly Gangwon - Republic of Korea	Gangwon
FHM	Freebird Airlines Europe Limited - Malta	Eurobird
FHV	Flyverhjemmevaernet - Denmark	Patrol
FHY	Free Bird Airlines (Hurkus Havayolu Tasimacilik Ve Ticaret A.S.) - Turkey	Freebird Air
FIA	Fly One - Republic of Moldova	Fia Airlines
FIC	Aerosafin, S.A. de C.V. - Mexico	Aerosafin
FIH	Finnhems Oy - Finland	Finnhems
FIL	Fly Line S.L. - Spain	Flyline
FIN	Finnair Oyj - Finland	Finnair
FIS	Wingglider Limited GBR.ATO.0216 - United Kingdom	Sherry
FIV	Citationshares, LLC (Greenwhich, CT) - United States	Five Star
FJA	Fiji Airlines Limited - Fiji	Link Fiji
FJB	Fastjet Zambia Limited - Zambia	Fastbird
FJE	Fanjet Express - Kenya	Fanjet
FJI	Air Pacific Limited - Fiji	Fiji
FJM	Fly Jamaica Airways Limited - Jamaica	Greenheart
FJO	Flexjet Operations Malta Limited - Malta	Flex Malta
FJR	Solitaire Air (Fly Jordan) - Jordan	Solitaire Air
FJS	Florida Jet Service, Inc. (Fort Lauderdale, FL) - United States	Floridajet
FJT	Future Air Co., Ltd. - China	Future Air
FJW	Fastjet Zimbabwe Limited - Zimbabwe	Zimbird
FKS	Omega Air Holdings, LLC D/B/A Focus Air (Ft. Lauderdale, FL) - United States	Focus
FKZ	Fly Kumba - Zimbabwe	Kumba
FLB	Fly Art - Chad	Rossignol
FLC	United States Department of Transportation, Federal Aviation Administration, Flight Inspection Services (Oklahoma City, OK) - United States	Flight Check
FLD	Empresa Floridian S.A. - Uruguay	Floridian
FLE	Flair Airlines Ltd - Canada	Flair
FLF	Friendship Airlines Ltd - Uganda	Friend Air
FLG	Big Charter Private Limited - India	Krish
FLH	Sky Bus, Inc. (Denver, CO) - United States	Mile High
FLI	Atlantic Airways, Faroe Islands P/F - Denmark	Faroeline
FLJ	Flexjet Operations Ltd - United Kingdom	Flexair
FLK	Flylink Express S.A. - Spain	Flylink
FLL	Federal Airlines - Sudan	Federal Airlines
FLO	Flycom D.O.O. - Slovenia	Flycom
FLP	Fl140 Parachutisme Bordeaux - France	Parapro
FLR	Fleetair - South Africa	Fleetair
FLS	Flying Fast, S.A. de C.V. - Mexico	Rapidos
FLV	Civair Airways (Pty) Ltd T/A Redair - South Africa	Sky Red
FLX	Flight Express, Inc. (Orlando, FL) - United States	Flight Express
FLZ	Flightlink Limited - United Republic of Tanzania	Flightlink
FMA	Fumigacion Aerea Andaluza, S.A. - Spain	Faasa
FMF	Egyptian Aviation Academy - Egypt	Egypt Academy
FMG	FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt, Buren - Germany	Husky
FMI	FMI Air - Myanmar	Gecko
FML	Sky Mali - Mali	Eagle Bird
FMR	Flamingo Air, Inc. (Cincinnati, OH) - United States	Flamingo Air
FMS	Hadison Aviation - Sudan	Hadi
FMX	Flyfast, S.A. de C.V. - Mexico	Fastmex
FMY	Aviation Legere de l'Armee de Terre - France	French Army
FNC	Finalair Congo - Congo	Finalair Congo
FNF	Finnish Air Force Headquarters - Finland	Finnforce
FNG	Finnish Border Guard - Finland	Finnguard
FNK	IAS Itzehoer Airservice GmbH - Germany	Funky
FNL	Lapin tilauslento Oy - Finland	Finn Flight
FNO	Aeroflota del Noroeste S.L. - Spain	Riazor
FNS	Finesse Executive Ltd - United Kingdom	Finesse
FNX	Fenix Air Charter - United States	Crescent
FNY	France Marine Nationale - France	French Navy
FOA	Fortune Air (Pty) Ltd - South Africa	Fortune Air
FOC	Office Federal de la Aviation Civile - Switzerland	Foca
FOE	Fly One Airlines - Romania	First Eagle
FOF	Flyfofa Airways - South Africa	Fofa
FOH	Fly Orion Airways - Cyprus	Orion
FON	Flyington Freights Limited - India	Flyington
FOO	Anisec GmbH - Austria	Austrojet
FOP	Fokker Aircraft Services - Netherlands	Fokker Services
FOR	Formula One Management Limited - United Kingdom	Formula
FOT	Aviat Aviacion y Trabajos Aereos, S.L. - Spain	Avifoto
FOX	Flyr - Norway	Greenstar
FOZ	Stars Airways - Syrian Arab Republic	Stars Airways
FPC	Flight Pro International, LLC - United States	Pro Connect
FPI	Flypersia - Iran (Islamic Republic of)	Persia
FPK	Air Falcon (Pvt) Limited - Pakistan	Feather
FPL	Australian Federal Police - Australia	Fedpol
FPO	ASL Airlines France - France	French Post
FPY	Fly Play - Iceland	Player
FQA	Quikjet Cargo Airlines Pvt. Ltd - India	Quik Lift
FRA	FR Aviation Ltd - United Kingdom	Rushton
FRB	Fly Rak - United Arab Emirates	Rakway
FRD	Ford Motor Company (Detroit, MI) - United States	Ford
FRE	Boeing Tactical (St.Louis, MO) - United States	Freedom
FRF	Fleet Air International Ltd - Hungary	Fairfleet
FRG	Freight Runners Express, Inc. (Milwaukee, WI) - United States	Freight Runners
FRI	Freedom Air (Pty) Ltd T/A North East Charters - South Africa	Freeflight
FRJ	Afrijet Airlines - Nigeria	Afrijet
FRK	Afrika Aviation Handlers Limited - Kenya	Afrifast
FRN	First Nation Airways (Ss) Limited - Nigeria	First Nation
FRQ	Afrique Chart'Air - Cameroon	Charter Afrique
FRR	Fresh Air Ltd - Nigeria	Fresh Air
